
==================================================
ROZPOCZYNAM EKSPERYMENT 1: ARCHITEKTURA
==================================================

[Eksperyment 1] Parametry: {'batch_size': 64, 'lr': 0.001, 'dropout_rate': 0.2, 'kernel_size': 3, 'num_filters': 8}

--- Start Treningu | Batch 64 LR 0.001 Kernel 3 Filters 8 Dropout 0.2 ---
Epoka [6/50]    |  Train Acc: 43.54%  |  Val Acc: 64.38%  |  LR: 0.000965
!!!     [Brak poprawy: 2/20]    !!!
Epoka [7/50]    |  Train Acc: 44.46%  |  Val Acc: 62.56%  |  LR: 0.000952
!!!     [Brak poprawy: 3/20]    !!!
Epoka [8/50]    |  Train Acc: 47.26%  |  Val Acc: 63.93%  |  LR: 0.000938
!!!     [Brak poprawy: 4/20]    !!!
Epoka [9/50]    |  Train Acc: 45.14%  |  Val Acc: 66.67%  |  LR: 0.000922
Epoka [10/50]   |  Train Acc: 46.23%  |  Val Acc: 64.61%  |  LR: 0.000905
!!!     [Brak poprawy: 1/20]    !!!
Epoka [11/50]   |  Train Acc: 48.80%  |  Val Acc: 45.89%  |  LR: 0.000885
!!!     [Brak poprawy: 2/20]    !!!
Epoka [12/50]   |  Train Acc: 52.17%  |  Val Acc: 60.05%  |  LR: 0.000865
!!!     [Brak poprawy: 3/20]    !!!
Epoka [13/50]   |  Train Acc: 52.51%  |  Val Acc: 75.11%  |  LR: 0.000842
Epoka [14/50]   |  Train Acc: 52.91%  |  Val Acc: 78.77%  |  LR: 0.000819
Epoka [15/50]   |  Train Acc: 54.11%  |  Val Acc: 78.77%  |  LR: 0.000794
!!!     [Brak poprawy: 1/20]    !!!
Epoka [16/50]   |  Train Acc: 54.74%  |  Val Acc: 83.79%  |  LR: 0.000768
Epoka [17/50]   |  Train Acc: 55.54%  |  Val Acc: 83.11%  |  LR: 0.000741
!!!     [Brak poprawy: 1/20]    !!!
Epoka [18/50]   |  Train Acc: 57.26%  |  Val Acc: 82.19%  |  LR: 0.000713
!!!     [Brak poprawy: 2/20]    !!!
Epoka [19/50]   |  Train Acc: 57.89%  |  Val Acc: 84.02%  |  LR: 0.000684
Epoka [20/50]   |  Train Acc: 58.86%  |  Val Acc: 78.77%  |  LR: 0.000655
!!!     [Brak poprawy: 1/20]    !!!
Epoka [21/50]   |  Train Acc: 57.94%  |  Val Acc: 81.51%  |  LR: 0.000625
!!!     [Brak poprawy: 2/20]    !!!
Epoka [22/50]   |  Train Acc: 62.11%  |  Val Acc: 85.62%  |  LR: 0.000594
Epoka [23/50]   |  Train Acc: 59.60%  |  Val Acc: 86.53%  |  LR: 0.000563
Epoka [24/50]   |  Train Acc: 61.60%  |  Val Acc: 82.19%  |  LR: 0.000532
!!!     [Brak poprawy: 1/20]    !!!
Epoka [25/50]   |  Train Acc: 61.49%  |  Val Acc: 86.53%  |  LR: 0.000500
!!!     [Brak poprawy: 2/20]    !!!
Epoka [26/50]   |  Train Acc: 60.97%  |  Val Acc: 86.07%  |  LR: 0.000469
!!!     [Brak poprawy: 3/20]    !!!
Epoka [27/50]   |  Train Acc: 62.40%  |  Val Acc: 91.10%  |  LR: 0.000438
Epoka [28/50]   |  Train Acc: 65.37%  |  Val Acc: 85.16%  |  LR: 0.000407
!!!     [Brak poprawy: 1/20]    !!!
Epoka [29/50]   |  Train Acc: 65.83%  |  Val Acc: 83.33%  |  LR: 0.000376
!!!     [Brak poprawy: 2/20]    !!!
Epoka [30/50]   |  Train Acc: 64.00%  |  Val Acc: 89.73%  |  LR: 0.000346
!!!     [Brak poprawy: 3/20]    !!!
Epoka [31/50]   |  Train Acc: 64.97%  |  Val Acc: 84.70%  |  LR: 0.000317
!!!     [Brak poprawy: 4/20]    !!!
Epoka [32/50]   |  Train Acc: 64.29%  |  Val Acc: 87.21%  |  LR: 0.000288
!!!     [Brak poprawy: 5/20]    !!!
